a,ɥʕ
bui,ɥɫʏʊ
bum,ɥɫʏʄ
bun,ɥɫʏʇ
bung,ɥɫʏʌ
buy,ɥɫɮʍ
buya,ɥɫɮʘ
buyn,ɥɫɮʍʇ
buynh,ɥɫɮʍʉ
buyu,ɥɫɮʍʅ
buyên,ɥɫɮʘʇ
buyến,ɦɫɮʘʇ
buyết,ɦɫɮʘʆ
buyền,ɧɫɮʘʇ
buyển,ɨɫɮʘʇ
buyễn,ɩɫɮʘʇ
buyện,ɪɫɮʘʇ
buyệt,ɪɫɮʘʆ
buân,ɥɫɮʒʇ
buâng,ɥɫɮʒʌ
buây,ɥɫɮʒʊ
buê,ɥɫɮʐ
buênh,ɥɫɮʐʉ
buôi,ɥɫʚʊ
buôm,ɥɫʚʄ
buôn,ɥɫʚʇ
buông,ɥɫʚʌ
buý,ɦɫɮʍ
buýa,ɦɫɮʘ
buých,ɦɫɮʍʈ
buýn,ɦɫɮʍʇ
buýnh,ɦɫɮʍʉ
buýp,ɦɫɮʍʃ
buýt,ɦɫɮʍʆ
buýu,ɦɫɮʍʅ
buơ,ɥɫɮʑ
buấn,ɦɫɮʒʇ
buấng,ɦɫɮʒʌ
buất,ɦɫɮʒʆ
buấy,ɦɫɮʒʊ
buần,ɧɫɮʒʇ
buầng,ɧɫɮʒʌ
buầy,ɧɫɮʒʊ
buẩn,ɨɫɮʒʇ
buẩng,ɨɫɮʒʌ
buẩy,ɨɫɮʒʊ
buẫn,ɩɫɮʒʇ
buẫng,ɩɫɮʒʌ
buẫy,ɩɫɮʒʊ
buận,ɪɫɮʒʇ
buậng,ɪɫɮʒʌ
buật,ɪɫɮʒʆ
buậy,ɪɫɮʒʊ
buế,ɦɫɮʐ
buếch,ɦɫɮʐʈ
buếnh,ɦɫɮʐʉ
buề,ɧɫɮʐ
buềnh,ɧɫɮʐʉ
buể,ɨɫɮʐ
buểnh,ɨɫɮʐʉ
buễ,ɩɫɮʐ
buễnh,ɩɫɮʐʉ
buệ,ɪɫɮʐ
buệch,ɪɫɮʐʈ
buệnh,ɪɫɮʐʉ
buốc,ɦɫʚʋ
buối,ɦɫʚʊ
buốm,ɦɫʚʄ
buốn,ɦɫʚʇ
buống,ɦɫʚʌ
buốp,ɦɫʚʃ
buốt,ɦɫʚʆ
buồi,ɧɫʚʊ
buồm,ɧɫʚʄ
buồn,ɧɫʚʇ
buồng,ɧɫʚʌ
buổi,ɨɫʚʊ
buổm,ɨɫʚʄ
buổn,ɨɫʚʇ
buổng,ɨɫʚʌ
buỗi,ɩɫʚʊ
buỗm,ɩɫʚʄ
buỗn,ɩɫʚʇ
buỗng,ɩɫʚʌ
buộc,ɪɫʚʋ
buội,ɪɫʚʊ
buộm,ɪɫʚʄ
buộn,ɪɫʚʇ
buộng,ɪɫʚʌ
buộp,ɪɫʚʃ
buột,ɪɫʚʆ
buớ,ɦɫɮʑ
buờ,ɧɫɮʑ
buở,ɨɫɮʑ
buỡ,ɩɫɮʑ
buợ,ɪɫɮʑ
buỳ,ɧɫɮʍ
buỳa,ɧɫɮʘ
buỳn,ɧɫɮʍʇ
buỳnh,ɧɫɮʍʉ
buỳu,ɧɫɮʍʅ
buỵ,ɪɫɮʍ
buỵa,ɪɫɮʘ
buỵch,ɪɫɮʍʈ
buỵn,ɪɫɮʍʇ
buỵnh,ɪɫɮʍʉ
buỵp,ɪɫɮʍʃ
buỵt,ɪɫɮʍʆ
buỵu,ɪɫɮʍʅ
buỷ,ɨɫɮʍ
buỷa,ɨɫɮʘ
buỷn,ɨɫɮʍʇ
buỷnh,ɨɫɮʍʉ
buỷu,ɨɫɮʍʅ
buỹ,ɩɫɮʍ
buỹa,ɩɫɮʘ
buỹn,ɩɫɮʍʇ
buỹnh,ɩɫɮʍʉ
buỹu,ɩɫɮʍʅ
by,ɥɫʍ
bà,ɧɫʕ
bài,ɧɫʕʊ
bàm,ɧɫʕʄ
bàn,ɧɫʕʇ
bàng,ɧɫʕʌ
bành,ɧɫʕʉ
bào,ɧɫʕʅ
bàu,ɧɫʖʅ
bày,ɧɫʖʊ
bá,ɦɫʕ
bác,ɦɫʕʋ
bách,ɦɫʕʈ
bái,ɦɫʕʊ
bám,ɦɫʕʄ
bán,ɦɫʕʇ
báng,ɦɫʕʌ
bánh,ɦɫʕʉ
báo,ɦɫʕʅ
báp,ɦɫʕʃ
bát,ɦɫʕʆ
báu,ɦɫʖʅ
báy,ɦɫʖʊ
bâm,ɥɫʒʄ
bân,ɥɫʒʇ
bâng,ɥɫʒʌ
bâu,ɥɫʒʅ
bây,ɥɫʒʊ
bã,ɩɫʕ
bãi,ɩɫʕʊ
bãm,ɩɫʕʄ
bãn,ɩɫʕʇ
bãng,ɩɫʕʌ
bãnh,ɩɫʕʉ
bão,ɩɫʕʅ
bãu,ɩɫʖʅ
bãy,ɩɫʖʊ
bè,ɧɫʔ
bèm,ɧɫʔʄ
bèn,ɧɫʔʇ
bèng,ɧɫʔʌ
bèo,ɧɫʔʅ
bé,ɦɫʔ
béc,ɦɫʔʋ
bém,ɦɫʔʄ
bén,ɦɫʔʇ
béng,ɦɫʔʌ
béo,ɦɫʔʅ
bép,ɦɫʔʃ
bét,ɦɫʔʆ
bê,ɥɫʐ
bêm,ɥɫʐʄ
bên,ɥɫʐʇ
bênh,ɥɫʐʉ
bêu,ɥɫʐʅ
bì,ɧɫʍ
bìa,ɧɫʘ
bìm,ɧɫʍʄ
bìn,ɧɫʍʇ
bình,ɧɫʍʉ
bìu,ɧɫʍʅ
bí,ɦɫʍ
bía,ɦɫʘ
bích,ɦɫʍʈ
bím,ɦɫʍʄ
bín,ɦɫʍʇ
bính,ɦɫʍʉ
bíp,ɦɫʍʃ
bít,ɦɫʍʆ
bíu,ɦɫʍʅ
bò,ɧɫʗ
bòi,ɧɫʗʊ
bòm,ɧɫʗʄ
bòn,ɧɫʗʇ
bòng,ɧɫʗʌ
bó,ɦɫʗ
bóc,ɦɫʗʋ
bói,ɦɫʗʊ
bóm,ɦɫʗʄ
bón,ɦɫʗʇ
bóng,ɦɫʗʌ
bóp,ɦɫʗʃ
bót,ɦɫʗʆ
bô,ɥɫʓ
bôi,ɥɫʓʊ
bôm,ɥɫʓʄ
bôn,ɥɫʓʇ
bông,ɥɫʓʌ
bõ,ɩɫʗ
bõi,ɩɫʗʊ
bõm,ɩɫʗʄ
bõn,ɩɫʗʇ
bõng,ɩɫʗʌ
bù,ɧɫʏ
bùa,ɧɫʚ
bùi,ɧɫʏʊ
bùm,ɧɫʏʄ
bùn,ɧɫʏʇ
bùng,ɧɫʏʌ
bú,ɦɫʏ
búa,ɦɫʚ
búc,ɦɫʏʋ
búi,ɦɫʏʊ
búm,ɦɫʏʄ
bún,ɦɫʏʇ
búng,ɦɫʏʌ
búp,ɦɫʏʃ
bút,ɦɫʏʆ
bý,ɦɫʍ
băm,ɥɫʖʄ
băn,ɥɫʖʇ
băng,ɥɫʖʌ
bĩ,ɩɫʍ
bĩa,ɩɫʘ
bĩm,ɩɫʍʄ
bĩn,ɩɫʍʇ
bĩnh,ɩɫʍʉ
bĩu,ɩɫʍʅ
bũ,ɩɫʏ
bũa,ɩɫʚ
bũi,ɩɫʏʊ
bũm,ɩɫʏʄ
bũn,ɩɫʏʇ
bũng,ɩɫʏʌ
bơ,ɥɫʑ
bơi,ɥɫʑʊ
bơm,ɥɫʑʄ
bơn,ɥɫʑʇ
bư,ɥɫʎ
bưa,ɥɫʙ
bưi,ɥɫʎʊ
bưm,ɥɫʎʄ
bưn,ɥɫʎʇ
bưng,ɥɫʎʌ
bưu,ɥɫʎʅ
bươi,ɥɫʙʊ
bươm,ɥɫʙʄ
bươn,ɥɫʙʇ
bương,ɥɫʙʌ
bươu,ɥɫʙʅ
bước,ɦɫʙʋ
bưới,ɦɫʙʊ
bướm,ɦɫʙʄ
bướn,ɦɫʙʇ
bướng,ɦɫʙʌ
bướp,ɦɫʙʃ
bướt,ɦɫʙʆ
bướu,ɦɫʙʅ
bười,ɧɫʙʊ
bườm,ɧɫʙʄ
bườn,ɧɫʙʇ
bường,ɧɫʙʌ
bườu,ɧɫʙʅ
bưởi,ɨɫʙʊ
bưởm,ɨɫʙʄ
bưởn,ɨɫʙʇ
bưởng,ɨɫʙʌ
bưởu,ɨɫʙʅ
bưỡi,ɩɫʙʊ
bưỡm,ɩɫʙʄ
bưỡn,ɩɫʙʇ
bưỡng,ɩɫʙʌ
bưỡu,ɩɫʙʅ
bược,ɪɫʙʋ
bượi,ɪɫʙʊ
bượm,ɪɫʙʄ
bượn,ɪɫʙʇ
bượng,ɪɫʙʌ
bượp,ɪɫʙʃ
bượt,ɪɫʙʆ
bượu,ɪɫʙʅ
bạ,ɪɫʕ
bạc,ɪɫʕʋ
bạch,ɪɫʕʈ
bại,ɪɫʕʊ
bạm,ɪɫʕʄ
bạn,ɪɫʕʇ
bạng,ɪɫʕʌ
bạnh,ɪɫʕʉ
bạo,ɪɫʕʅ
bạp,ɪɫʕʃ
bạt,ɪɫʕʆ
bạu,ɪɫʖʅ
bạy,ɪɫʖʊ
bả,ɨɫʕ
bải,ɨɫʕʊ
bảm,ɨɫʕʄ
bản,ɨɫʕʇ
bảng,ɨɫʕʌ
bảnh,ɨɫʕʉ
bảo,ɨɫʕʅ
bảu,ɨɫʖʅ
bảy,ɨɫʖʊ
bấc,ɦɫʒʋ
bấm,ɦɫʒʄ
bấn,ɦɫʒʇ
bấng,ɦɫʒʌ
bấp,ɦɫʒʃ
bất,ɦɫʒʆ
bấu,ɦɫʒʅ
bấy,ɦɫʒʊ
bầm,ɧɫʒʄ
bần,ɧɫʒʇ
bầng,ɧɫʒʌ
bầu,ɧɫʒʅ
bầy,ɧɫʒʊ
bẩm,ɨɫʒʄ
bẩn,ɨɫʒʇ
bẩng,ɨɫʒʌ
bẩu,ɨɫʒʅ
bẩy,ɨɫʒʊ
bẫm,ɩɫʒʄ
bẫn,ɩɫʒʇ
bẫng,ɩɫʒʌ
bẫu,ɩɫʒʅ
bẫy,ɩɫʒʊ
bậc,ɪɫʒʋ
bậm,ɪɫʒʄ
bận,ɪɫʒʇ
bậng,ɪɫʒʌ
bập,ɪɫʒʃ
bật,ɪɫʒʆ
bậu,ɪɫʒʅ
bậy,ɪɫʒʊ
bắc,ɦɫʖʋ
bắm,ɦɫʖʄ
bắn,ɦɫʖʇ
bắng,ɦɫʖʌ
bắp,ɦɫʖʃ
bắt,ɦɫʖʆ
bằm,ɧɫʖʄ
bằn,ɧɫʖʇ
bằng,ɧɫʖʌ
bẳm,ɨɫʖʄ
bẳn,ɨɫʖʇ
bẳng,ɨɫʖʌ
bẵm,ɩɫʖʄ
bẵn,ɩɫʖʇ
bẵng,ɩɫʖʌ
bặc,ɪɫʖʋ
bặm,ɪɫʖʄ
bặn,ɪɫʖʇ
bặng,ɪɫʖʌ
bặp,ɪɫʖʃ
bặt,ɪɫʖʆ
bẹ,ɪɫʔ
bẹc,ɪɫʔʋ
bẹm,ɪɫʔʄ
bẹn,ɪɫʔʇ
bẹng,ɪɫʔʌ
bẹo,ɪɫʔʅ
bẹp,ɪɫʔʃ
bẹt,ɪɫʔʆ
bẻ,ɨɫʔ
bẻm,ɨɫʔʄ
bẻn,ɨɫʔʇ
bẻng,ɨɫʔʌ
bẻo,ɨɫʔʅ
bẽ,ɩɫʔ
bẽm,ɩɫʔʄ
bẽn,ɩɫʔʇ
bẽng,ɩɫʔʌ
bẽo,ɩɫʔʅ
bế,ɦɫʐ
bếch,ɦɫʐʈ
bếm,ɦɫʐʄ
bến,ɦɫʐʇ
bếnh,ɦɫʐʉ
bếp,ɦɫʐʃ
bết,ɦɫʐʆ
bếu,ɦɫʐʅ
bề,ɧɫʐ
bềm,ɧɫʐʄ
bền,ɧɫʐʇ
bềnh,ɧɫʐʉ
bều,ɧɫʐʅ
bể,ɨɫʐ
bểm,ɨɫʐʄ
bển,ɨɫʐʇ
bểnh,ɨɫʐʉ
bểu,ɨɫʐʅ
bễ,ɩɫʐ
bễm,ɩɫʐʄ
bễn,ɩɫʐʇ
bễnh,ɩɫʐʉ
bễu,ɩɫʐʅ
bệ,ɪɫʐ
bệch,ɪɫʐʈ
bệm,ɪɫʐʄ
bện,ɪɫʐʇ
bệnh,ɪɫʐʉ
bệp,ɪɫʐʃ
bệt,ɪɫʐʆ
bệu,ɪɫʐʅ
bỉ,ɨɫʍ
bỉa,ɨɫʘ
bỉm,ɨɫʍʄ
bỉn,ɨɫʍʇ
bỉnh,ɨɫʍʉ
bỉu,ɨɫʍʅ
bị,ɪɫʍ
bịa,ɪɫʘ
bịch,ɪɫʍʈ
bịm,ɪɫʍʄ
bịn,ɪɫʍʇ
bịnh,ɪɫʍʉ
bịp,ɪɫʍʃ
bịt,ɪɫʍʆ
bịu,ɪɫʍʅ
bọ,ɪɫʗ
bọc,ɪɫʗʋ
bọi,ɪɫʗʊ
bọm,ɪɫʗʄ
bọn,ɪɫʗʇ
bọng,ɪɫʗʌ
bọp,ɪɫʗʃ
bọt,ɪɫʗʆ
bỏ,ɨɫʗ
bỏi,ɨɫʗʊ
bỏm,ɨɫʗʄ
bỏn,ɨɫʗʇ
bỏng,ɨɫʗʌ
bố,ɦɫʓ
bốc,ɦɫʓʋ
bối,ɦɫʓʊ
bốm,ɦɫʓʄ
bốn,ɦɫʓʇ
bống,ɦɫʓʌ
bốp,ɦɫʓʃ
bốt,ɦɫʓʆ
bồ,ɧɫʓ
bồi,ɧɫʓʊ
bồm,ɧɫʓʄ
bồn,ɧɫʓʇ
bồng,ɧɫʓʌ
bổ,ɨɫʓ
bổi,ɨɫʓʊ
bổm,ɨɫʓʄ
bổn,ɨɫʓʇ
bổng,ɨɫʓʌ
bỗ,ɩɫʓ
bỗi,ɩɫʓʊ
bỗm,ɩɫʓʄ
bỗn,ɩɫʓʇ
bỗng,ɩɫʓʌ
bộ,ɪɫʓ
bộc,ɪɫʓʋ
bội,ɪɫʓʊ
bộm,ɪɫʓʄ
bộn,ɪɫʓʇ
bộng,ɪɫʓʌ
bộp,ɪɫʓʃ
bột,ɪɫʓʆ
bớ,ɦɫʑ
bới,ɦɫʑʊ
bớm,ɦɫʑʄ
bớn,ɦɫʑʇ
bớp,ɦɫʑʃ
bớt,ɦɫʑʆ
bờ,ɧɫʑ
bời,ɧɫʑʊ
bờm,ɧɫʑʄ
bờn,ɧɫʑʇ
bở,ɨɫʑ
bởi,ɨɫʑʊ
bởm,ɨɫʑʄ
bởn,ɨɫʑʇ
bỡ,ɩɫʑ
bỡi,ɩɫʑʊ
bỡm,ɩɫʑʄ
bỡn,ɩɫʑʇ
bợ,ɪɫʑ
bợi,ɪɫʑʊ
bợm,ɪɫʑʄ
bợn,ɪɫʑʇ
bợp,ɪɫʑʃ
bợt,ɪɫʑʆ
bụ,ɪɫʏ
bụa,ɪɫʚ
bục,ɪɫʏʋ
bụi,ɪɫʏʊ
bụm,ɪɫʏʄ
bụn,ɪɫʏʇ
bụng,ɪɫʏʌ
bụp,ɪɫʏʃ
bụt,ɪɫʏʆ
bủ,ɨɫʏ
bủa,ɨɫʚ
bủi,ɨɫʏʊ
bủm,ɨɫʏʄ
bủn,ɨɫʏʇ
bủng,ɨɫʏʌ
bứ,ɦɫʎ
bứa,ɦɫʙ
bức,ɦɫʎʋ
bứi,ɦɫʎʊ
bứm,ɦɫʎʄ
bứn,ɦɫʎʇ
bứng,ɦɫʎʌ
bứt,ɦɫʎʆ
bứu,ɦɫʎʅ
bừ,ɧɫʎ
bừa,ɧɫʙ
bừi,ɧɫʎʊ
bừm,ɧɫʎʄ
bừn,ɧɫʎʇ
bừng,ɧɫʎʌ
bừu,ɧɫʎʅ
bử,ɨɫʎ
bửa,ɨɫʙ
bửi,ɨɫʎʊ
bửm,ɨɫʎʄ
bửn,ɨɫʎʇ
bửng,ɨɫʎʌ
bửu,ɨɫʎʅ
bữ,ɩɫʎ
bữa,ɩɫʙ
bữi,ɩɫʎʊ
bữm,ɩɫʎʄ
bữn,ɩɫʎʇ
bững,ɩɫʎʌ
bữu,ɩɫʎʅ
bự,ɪɫʎ
bựa,ɪɫʙ
bực,ɪɫʎʋ
bựi,ɪɫʎʊ
bựm,ɪɫʎʄ
bựn,ɪɫʎʇ
bựng,ɪɫʎʌ
bựt,ɪɫʎʆ
bựu,ɪɫʎʅ
bỳ,ɧɫʍ
bỵ,ɪɫʍ
bỷ,ɨɫʍ
bỹ,ɩɫʍ
ca,ɥɾʕ
cai,ɥɾʕʊ
cam,ɥɾʕʄ
can,ɥɾʕʇ
cang,ɥɾʕʌ
canh,ɥɾʕʉ
cao,ɥɾʕʅ
cau,ɥɾʖʅ
cay,ɥɾʖʊ
cha,ɥɻʕ
chai,ɥɻʕʊ
cham,ɥɻʕʄ
chan,ɥɻʕʇ
chang,ɥɻʕʌ
chanh,ɥɻʕʉ
chao,ɥɻʕʅ
chau,ɥɻʖʅ
chay,ɥɻʖʊ
che,ɥɻʔ
chem,ɥɻʔʄ
chen,ɥɻʔʇ
cheng,ɥɻʔʌ
cheo,ɥɻʔʅ
chi,ɥɻʍ
chia,ɥɻʘ
chim,ɥɻʍʄ
chin,ɥɻʍʇ
chinh,ɥɻʍʉ
chiu,ɥɻʍʅ
chiêm,ɥɻʘʄ
chiên,ɥɻʘʇ
chiêng,ɥɻʘʌ
chiêu,ɥɻʘʅ
chiếc,ɦɻʘʋ
chiếm,ɦɻʘʄ
chiến,ɦɻʘʇ
chiếng,ɦɻʘʌ
chiếp,ɦɻʍʐʃ
chiết,ɦɻʘʆ
chiếu,ɦɻʘʅ
chiềm,ɧɻʘʄ
chiền,ɧɻʘʇ
chiềng,ɧɻʘʌ
chiều,ɧɻʘʅ
chiểm,ɨɻʘʄ
chiển,ɨɻʘʇ
chiểng,ɨɻʘʌ
chiểu,ɨɻʘʅ
chiễm,ɩɻʘʄ
chiễn,ɩɻʘʇ
chiễng,ɩɻʘʌ
chiễu,ɩɻʘʅ
chiệc,ɪɻʘʋ
chiệm,ɪɻʘʄ
chiện,ɪɻʘʇ
chiệng,ɪɻʘʌ
chiệp,ɪɻʍʐʃ
chiệt,ɪɻʘʆ
chiệu,ɪɻʘʅ
cho,ɥɻʗ
choa,ɥɻɮʕ
choai,ɥɻɮʕʊ
choam,ɥɻɮʕʄ
choan,ɥɻɮʕʇ
choang,ɥɻɮʕʌ
choanh,ɥɻɮʕʉ
choao,ɥɻɮʕʅ
choay,ɥɻɮʖʊ
choe,ɥɻɮʔ
choem,ɥɻɮʔʄ
choen,ɥɻɮʔʇ
choeo,ɥɻɮʔʅ
choi,ɥɻʗʊ
chom,ɥɻʗʄ
chon,ɥɻʗʇ
chong,ɥɻʗʌ
choong,choong
choà,ɧɻɮʕ
choài,ɧɻɮʕʊ
choàm,ɧɻɮʕʄ
choàn,ɧɻɮʕʇ
choàng,ɧɻɮʕʌ
choành,ɧɻɮʕʉ
choào,ɧɻɮʕʅ
choày,ɧɻɮʖʊ
choá,ɦɻɮʕ
choác,ɦɻɮʕʋ
choách,ɦɻɮʕʈ
choái,ɦɻɮʕʊ
choám,ɦɻɮʕʄ
choán,ɦɻɮʕʇ
choáng,ɦɻɮʕʌ
choánh,ɦɻɮʕʉ
choáo,ɦɻɮʕʅ
choáp,ɦɻɮʕʃ
choát,ɦɻɮʕʆ
choáy,ɦɻɮʖʊ
choã,ɩɻɮʕ
choãi,ɩɻɮʕʊ
choãm,ɩɻɮʕʄ
choãn,ɩɻɮʕʇ
choãng,ɩɻɮʕʌ
choãnh,ɩɻɮʕʉ
choão,ɩɻɮʕʅ
choãy,ɩɻɮʖʊ
choè,ɧɻɮʔ
choèm,ɧɻɮʔʄ
choèn,ɧɻɮʔʇ
choèo,ɧɻɮʔʅ
choé,ɦɻɮʔ
choém,ɦɻɮʔʄ
choén,ɦɻɮʔʇ
choéo,ɦɻɮʔʅ
choét,ɦɻɮʔʆ
choòng,choòng
choóc,choóc
choóng,choóng
choõng,choõng
choăm,ɥɻɮʖʄ
choăn,ɥɻɮʖʇ
choăng,ɥɻɮʖʌ
choạ,ɪɻɮʕ
choạc,ɪɻɮʕʋ
choạch,ɪɻɮʕʈ
choại,ɪɻɮʕʊ
choạm,ɪɻɮʕʄ
choạn,ɪɻɮʕʇ
choạng,ɪɻɮʕʌ
choạnh,ɪɻɮʕʉ
choạo,ɪɻɮʕʅ
choạp,ɪɻɮʕʃ
choạt,ɪɻɮʕʆ
choạy,ɪɻɮʖʊ
choả,ɨɻɮʕ
choải,ɨɻɮʕʊ
choảm,ɨɻɮʕʄ
choản,ɨɻɮʕʇ
choảng,ɨɻɮʕʌ
choảnh,ɨɻɮʕʉ
choảo,ɨɻɮʕʅ
choảy,ɨɻɮʖʊ
choắc,ɦɻɮʖʋ
choắm,ɦɻɮʖʄ
choắn,ɦɻɮʖʇ
choắng,ɦɻɮʖʌ
choắt,ɦɻɮʖʆ
choằm,ɧɻɮʖʄ
choằn,ɧɻɮʖʇ
choằng,ɧɻɮʖʌ
choẳm,ɨɻɮʖʄ
choẳn,ɨɻɮʖʇ
choẳng,ɨɻɮʖʌ
choẵm,ɩɻɮʖʄ
choẵn,ɩɻɮʖʇ
choẵng,ɩɻɮʖʌ
choặc,ɪɻɮʖʋ
choặm,ɪɻɮʖʄ
choặn,ɪɻɮʖʇ
choặng,ɪɻɮʖʌ
choặt,ɪɻɮʖʆ
choẹ,ɪɻɮʔ
choẹm,ɪɻɮʔʄ
choẹn,ɪɻɮʔʇ
choẹo,ɪɻɮʔʅ
choẹt,ɪɻɮʔʆ
choẻ,ɨɻɮʔ
choẻm,ɨɻɮʔʄ
choẻn,ɨɻɮʔʇ
choẻo,ɨɻɮʔʅ
choẽ,ɩɻɮʔ
choẽm,ɩɻɮʔʄ
choẽn,ɩɻɮʔʇ
choẽo,ɩɻɮʔʅ
choọc,choọc
choọng,choọng
choỏng,choỏng
chu,ɥɻʏ
chua,ɥɻʚ
chui,ɥɻʏʊ
chum,ɥɻʏʄ
chun,ɥɻʏʇ
chung,ɥɻʏʌ
chuy,ɥɻɮʍ
chuya,ɥɻɮʘ
chuyn,ɥɻɮʍʇ
chuynh,ɥɻɮʍʉ
chuyu,ɥɻɮʍʅ
chuyên,ɥɻɮʘʇ
chuyến,ɦɻɮʘʇ
chuyết,ɦɻɮʘʆ
chuyền,ɧɻɮʘʇ
chuyển,ɨɻɮʘʇ
